Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Leppävaara4,Tikkurila3,Luukki,Lohja,Porvoo(M5),Vuosaari(M4),Puistola(M1),Lintuvaara(M2),Hämeenlinnanväylä(M3)
2016-01-01 01:00:00,52.8,50.38709677419355,49.03225806451613,46.25806451612903,43.096774193548384,46.516129032258064,47.61290322580645,27.838709677419356,37.58064516129032,39.29032258064516,38.354838709677416,56.45161290322581,44.03225806451613
2016-01-01 02:00:00,54.32258064516129,50.25806451612903,46.74193548387097,45.96774193548387,45.61290322580645,41.645161290322584,44.193548387096776,27.741935483870968,37.38709677419355,40.12903225806452,33.935483870967744,40.25806451612903,40.903225806451616
2016-01-01 03:00:00,50.61290322580645,49.806451612903224,46.774193548387096,45.645161290322584,39.29032258064516,40.25806451612903,45.12903225806452,27.70967741935484,34.096774193548384,39.32258064516129,34.61290322580645,36.903225806451616,37.774193548387096
2016-01-01 04:00:00,47.32258064516129,48.806451612903224,46.16129032258065,44.354838709677416,36.54838709677419,40.45161290322581,43.96774193548387,24.677419354838708,33.064516129032256,39.0,33.67741935483871,35.096774193548384,37.16129032258065
2016-01-01 05:00:00,45.83870967741935,48.516129032258064,45.0,43.645161290322584,35.87096774193548,36.96774193548387,44.58064516129032,23.838709677419356,34.225806451612904,37.225806451612904,35.903225806451616,34.32258064516129,37.225806451612904
2016-01-01 06:00:00,43.03225806451613,48.32258064516129,44.67741935483871,42.96774193548387,35.38709677419355,37.096774193548384,43.70967741935484,22.64516129032258,32.96774193548387,37.45161290322581,36.0,33.25806451612903,37.41935483870968
2016-01-01 07:00:00,47.96774193548387,55.354838709677416,45.87096774193548,43.70967741935484,41.516129032258064,37.12903225806452,44.645161290322584,23.806451612903224,33.45161290322581,40.25806451612903,32.61290322580645,36.12903225806452,44.70967741935484
2016-01-01 08:00:00,54.516129032258064,58.774193548387096,49.96774193548387,45.70967741935484,46.645161290322584,42.61290322580645,46.12903225806452,26.129032258064516,39.03225806451613,43.87096774193548,40.03225806451613,35.54838709677419,49.935483870967744
2016-01-01 09:00:00,53.25806451612903,60.806451612903224,52.96774193548387,47.58064516129032,49.935483870967744,47.45161290322581,43.32258064516129,25.774193548387096,40.38709677419355,47.064516129032256,42.29032258064516,41.096774193548384,54.41935483870968
2016-01-01 10:00:00,55.70967741935484,61.41935483870968,50.03225806451613,46.41935483870968,47.935483870967744,47.54838709677419,42.29032258064516,29.35483870967742,42.16129032258065,49.0,40.1,39.61290322580645,54.0
2016-01-01 11:00:00,60.67741935483871,59.774193548387096,50.483870967741936,46.32258064516129,45.225806451612904,48.0,43.96774193548387,29.451612903225808,43.645161290322584,46.903225806451616,42.63333333333333,38.193548387096776,53.54838709677419
2016-01-01 12:00:00,59.43333333333333,59.064516129032256,50.67741935483871,46.29032258064516,46.03225806451613,47.61290322580645,48.29032258064516,26.806451612903224,42.41935483870968,41.45161290322581,40.25806451612903,43.516129032258064,50.6
2016-01-01 13:00:00,58.36666666666667,58.483870967741936,50.61290322580645,46.12903225806452,46.774193548387096,47.0,45.54838709677419,28.483870967741936,43.03225806451613,43.516129032258064,40.38709677419355,42.58064516129032,49.67741935483871
2016-01-01 14:00:00,59.8,60.45161290322581,50.25806451612903,45.67741935483871,48.58064516129032,46.67741935483871,47.61290322580645,29.806451612903224,43.96774193548387,43.0,44.16129032258065,43.32258064516129,53.54838709677419
2016-01-01 15:00:00,59.74193548387097,62.38709677419355,51.67741935483871,44.064516129032256,50.903225806451616,49.54838709677419,47.935483870967744,30.612903225806452,46.29032258064516,44.41935483870968,44.67741935483871,40.87096774193548,57.16129032258065
2016-01-01 16:00:00,63.96774193548387,66.09677419354838,53.25806451612903,46.0,53.67741935483871,51.064516129032256,46.0,32.03225806451613,47.58064516129032,45.96774193548387,48.516129032258064,44.41935483870968,60.064516129032256
2016-01-01 17:00:00,62.96774193548387,67.16129032258064,52.645161290322584,51.83870967741935,57.903225806451616,53.0,46.41935483870968,33.806451612903224,49.516129032258064,47.354838709677416,50.32258064516129,46.193548387096776,60.83870967741935
2016-01-01 18:00:00,59.806451612903224,64.58064516129032,52.225806451612904,52.354838709677416,57.16129032258065,53.483870967741936,47.096774193548384,34.03225806451613,48.806451612903224,47.483870967741936,53.645161290322584,48.74193548387097,59.935483870967744
2016-01-01 19:00:00,60.45161290322581,60.41935483870968,51.12903225806452,54.193548387096776,55.74193548387097,53.0,44.935483870967744,32.83870967741935,49.58064516129032,48.03225806451613,50.935483870967744,50.903225806451616,58.12903225806452
2016-01-01 20:00:00,56.225806451612904,58.483870967741936,49.54838709677419,53.935483870967744,52.38709677419355,51.32258064516129,45.61290322580645,33.74193548387097,47.935483870967744,45.61290322580645,52.16129032258065,57.354838709677416,56.54838709677419
2016-01-01 21:00:00,52.74193548387097,57.064516129032256,49.61290322580645,50.96774193548387,49.935483870967744,50.225806451612904,47.354838709677416,34.83870967741935,44.806451612903224,44.193548387096776,51.74193548387097,55.41935483870968,55.0
2016-01-01 22:00:00,57.41935483870968,54.064516129032256,47.903225806451616,49.61290322580645,48.354838709677416,48.61290322580645,47.03225806451613,32.806451612903224,42.16129032258065,44.12903225806452,48.806451612903224,52.16129032258065,52.354838709677416
2016-01-01 23:00:00,53.25806451612903,54.064516129032256,48.83870967741935,48.54838709677419,45.67741935483871,46.12903225806452,46.0,30.032258064516128,39.12903225806452,43.903225806451616,45.45161290322581,47.54838709677419,49.83870967741935
