Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Jätevoimala(M4),Leppävaara4,Tikkurila3,Luukki,Töölöntulli(M1),Lintuvaara2(M2),Hämeenlinnanväylä(M3),Järvenpää2(M5),Lohja
2015-01-01 01:00:00,50.70967741935484,48.0,48.096774193548384,48.096774193548384,21.214285714285715,32.206896551724135,27.35483870967742,49.225806451612904,39.62068965517241,37.93103448275862,25.714285714285715,28.8,17.225806451612904
2015-01-01 02:00:00,51.70967741935484,44.5,45.645161290322584,45.645161290322584,20.178571428571427,37.62068965517241,24.870967741935484,47.225806451612904,38.724137931034484,30.310344827586206,23.821428571428573,26.633333333333333,16.29032258064516
2015-01-01 03:00:00,48.935483870967744,44.75,44.74193548387097,45.516129032258064,21.428571428571427,29.379310344827587,23.258064516129032,47.54838709677419,36.6551724137931,26.17241379310345,20.642857142857142,21.866666666666667,16.64516129032258
2015-01-01 04:00:00,47.41935483870968,46.25,45.12903225806452,45.38709677419355,21.178571428571427,28.862068965517242,24.096774193548388,47.74193548387097,37.58620689655172,25.344827586206897,23.5,19.7,17.483870967741936
2015-01-01 05:00:00,47.774193548387096,48.0,45.45161290322581,45.41935483870968,23.892857142857142,30.344827586206897,25.29032258064516,47.61290322580645,38.51724137931034,24.655172413793103,25.714285714285715,19.833333333333332,17.741935483870968
2015-01-01 06:00:00,48.096774193548384,49.25,44.806451612903224,45.806451612903224,30.535714285714285,31.724137931034484,27.096774193548388,47.354838709677416,34.86206896551724,28.03448275862069,28.785714285714285,20.366666666666667,18.870967741935484
2015-01-01 07:00:00,44.935483870967744,53.75,43.74193548387097,45.0,30.107142857142858,36.58620689655172,32.096774193548384,46.903225806451616,45.55172413793103,28.93103448275862,41.75,22.066666666666666,20.483870967741936
2015-01-01 08:00:00,48.096774193548384,57.5,45.354838709677416,45.70967741935484,33.25,42.44827586206897,35.54838709677419,45.903225806451616,56.0,29.82758620689655,48.142857142857146,23.733333333333334,21.741935483870968
2015-01-01 09:00:00,47.354838709677416,57.25,45.03225806451613,45.41935483870968,32.785714285714285,42.53333333333333,37.935483870967744,44.774193548387096,58.51724137931034,29.79310344827586,50.888888888888886,25.733333333333334,22.677419354838708
2015-01-01 10:00:00,49.03225806451613,56.5,44.38709677419355,45.03225806451613,30.678571428571427,39.833333333333336,38.25806451612903,45.16129032258065,58.310344827586206,29.82758620689655,48.310344827586206,27.0,22.64516129032258
2015-01-01 11:00:00,48.54838709677419,53.25,41.67741935483871,44.193548387096776,33.607142857142854,40.43333333333333,36.54838709677419,43.935483870967744,58.93103448275862,29.533333333333335,44.93333333333333,29.344827586206897,21.580645161290324
2015-01-01 12:00:00,47.45161290322581,53.25,43.193548387096776,43.96774193548387,30.285714285714285,40.86666666666667,35.74193548387097,43.25806451612903,56.3448275862069,27.1,44.46666666666667,28.82758620689655,22.35483870967742
2015-01-01 13:00:00,49.38709677419355,48.5,42.70967741935484,42.32258064516129,31.071428571428573,42.06666666666667,34.25806451612903,44.70967741935484,55.86666666666667,28.566666666666666,44.7,29.0,22.93548387096774
2015-01-01 14:00:00,52.064516129032256,52.0,42.54838709677419,45.096774193548384,31.071428571428573,39.43333333333333,33.645161290322584,44.67741935483871,56.1,28.966666666666665,43.7,29.724137931034484,22.677419354838708
2015-01-01 15:00:00,51.935483870967744,51.5,42.516129032258064,45.0,27.896551724137932,40.758620689655174,34.83870967741935,45.41935483870968,56.766666666666666,31.966666666666665,45.13333333333333,30.896551724137932,24.193548387096776
2015-01-01 16:00:00,51.645161290322584,54.0,44.32258064516129,44.32258064516129,30.724137931034484,46.44827586206897,40.935483870967744,45.645161290322584,60.3,33.43333333333333,50.1,30.2,24.741935483870968
2015-01-01 17:00:00,52.806451612903224,63.0,46.064516129032256,45.806451612903224,36.310344827586206,49.724137931034484,41.41935483870968,46.67741935483871,61.2,36.53333333333333,50.46666666666667,33.53333333333333,25.612903225806452
2015-01-01 18:00:00,52.774193548387096,57.4,46.29032258064516,46.38709677419355,34.827586206896555,48.13793103448276,40.0,45.74193548387097,56.8,36.93333333333333,47.733333333333334,33.43333333333333,25.032258064516128
2015-01-01 19:00:00,50.67741935483871,54.8,44.67741935483871,46.193548387096776,36.310344827586206,45.206896551724135,38.25806451612903,46.83870967741935,52.6,41.93333333333333,43.0,33.46666666666667,24.741935483870968
2015-01-01 20:00:00,49.70967741935484,49.0,46.064516129032256,45.774193548387096,34.37931034482759,42.48275862068966,36.41935483870968,45.903225806451616,52.666666666666664,41.53333333333333,38.55172413793103,30.8,24.032258064516128
2015-01-01 21:00:00,51.70967741935484,50.0,47.193548387096776,48.096774193548384,31.689655172413794,39.44827586206897,36.54838709677419,47.12903225806452,52.233333333333334,40.0,36.6551724137931,29.0,21.93548387096774
2015-01-01 22:00:00,53.774193548387096,48.4,46.61290322580645,45.87096774193548,30.344827586206897,35.93103448275862,33.193548387096776,47.903225806451616,50.93333333333333,35.3,33.89655172413793,27.166666666666668,20.870967741935484
2015-01-01 23:00:00,52.354838709677416,47.0,45.064516129032256,44.83870967741935,24.103448275862068,35.206896551724135,30.516129032258064,48.0,42.766666666666666,29.766666666666666,30.93103448275862,24.266666666666666,19.967741935483872
2015-01-01 23:59:00,49.12903225806452,44.4,45.193548387096776,44.58064516129032,23.448275862068964,32.48275862068966,28.29032258064516,49.193548387096776,41.233333333333334,35.43333333333333,26.517241379310345,23.3,16.29032258064516
