Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Leppävaara4,Tikkurila3,Luukki,Lohja,Porvoo(M5),Vuosaari(M4),Puistola(M1),Lintuvaara(M2),Hämeenlinnanväylä(M3)
2016-01-01,56.208333333333336,53.916666666666664,49.208333333333336,50.208333333333336,38.041666666666664,41.708333333333336,50.0,17.5,61.833333333333336,35.75,31.666666666666668,42.5,23.333333333333332
2016-01-02,42.5,62.583333333333336,45.375,46.458333333333336,34.958333333333336,32.208333333333336,48.791666666666664,13.125,25.208333333333332,31.666666666666668,24.458333333333332,19.416666666666668,52.833333333333336
2016-01-03,47.25,62.166666666666664,47.0625,46.333333333333336,62.041666666666664,48.208333333333336,39.75,23.125,47.291666666666664,30.666666666666668,40.458333333333336,38.08695652173913,57.875
2016-01-04,52.375,61.791666666666664,47.833333333333336,44.708333333333336,54.75,43.958333333333336,42.666666666666664,38.958333333333336,43.583333333333336,48.958333333333336,35.458333333333336,31.458333333333332,58.916666666666664
2016-01-05,60.208333333333336,71.58333333333333,61.333333333333336,61.333333333333336,52.13333333333333,40.791666666666664,58.5,19.208333333333332,38.875,37.75,33.25,38.791666666666664,44.333333333333336
2016-01-06,70.79166666666667,62.5,62.416666666666664,56.5,55.541666666666664,47.625,57.833333333333336,38.166666666666664,49.208333333333336,52.583333333333336,36.625,43.5,44.583333333333336
2016-01-07,53.541666666666664,61.291666666666664,58.958333333333336,55.458333333333336,43.541666666666664,39.5,29.791666666666668,23.75,35.291666666666664,40.0,32.125,36.5,43.791666666666664
2016-01-08,43.083333333333336,56.791666666666664,43.5,34.166666666666664,32.541666666666664,35.75,15.041666666666666,13.625,31.75,29.666666666666668,22.458333333333332,22.041666666666668,44.0
2016-01-09,46.416666666666664,54.416666666666664,55.541666666666664,50.5,39.5,41.25,55.958333333333336,31.291666666666668,41.75,37.291666666666664,29.5,36.458333333333336,45.625
2016-01-10,23.375,44.875,52.0,51.125,18.833333333333332,27.0,48.375,7.25,23.125,18.125,9.333333333333334,17.833333333333332,17.583333333333332
2016-01-11,60.791666666666664,69.875,54.416666666666664,54.125,54.666666666666664,51.375,34.333333333333336,34.166666666666664,53.75,45.875,52.375,52.708333333333336,49.166666666666664
2016-01-12,52.166666666666664,70.91666666666667,56.375,48.958333333333336,58.041666666666664,55.875,37.458333333333336,15.5,36.833333333333336,42.833333333333336,39.708333333333336,33.458333333333336,67.04166666666667
2016-01-13,55.416666666666664,44.25,46.916666666666664,43.875,29.291666666666668,31.166666666666668,49.875,19.708333333333332,34.208333333333336,30.541666666666668,29.391304347826086,31.541666666666668,29.0
2016-01-14,59.833333333333336,62.833333333333336,48.916666666666664,42.291666666666664,37.208333333333336,45.375,46.25,26.708333333333332,26.25,55.0,44.0,31.916666666666668,55.208333333333336
2016-01-15,60.666666666666664,70.625,49.916666666666664,51.166666666666664,51.75,53.041666666666664,44.458333333333336,32.916666666666664,36.625,52.333333333333336,47.666666666666664,36.916666666666664,69.95833333333333
2016-01-16,65.75,77.45833333333333,54.75,65.04166666666667,74.625,81.75,32.625,40.375,62.458333333333336,66.66666666666667,82.95833333333333,75.08333333333333,79.79166666666667
2016-01-17,51.666666666666664,50.5,41.5,45.416666666666664,48.583333333333336,51.625,35.125,27.041666666666668,51.75,50.25,51.125,42.041666666666664,53.083333333333336
2016-01-18,60.23809523809524,53.916666666666664,48.25,39.625,50.666666666666664,50.791666666666664,40.916666666666664,47.208333333333336,47.958333333333336,51.083333333333336,49.958333333333336,51.333333333333336,51.833333333333336
2016-01-19,64.58333333333333,55.458333333333336,54.875,41.916666666666664,54.625,49.25,44.875,38.0,40.416666666666664,50.791666666666664,46.91304347826087,51.333333333333336,49.26086956521739
2016-01-20,66.0,59.083333333333336,55.25,40.666666666666664,57.75,51.916666666666664,41.208333333333336,37.583333333333336,44.875,48.208333333333336,46.708333333333336,53.583333333333336,62.291666666666664
2016-01-21,74.83333333333333,69.83333333333333,68.20833333333333,62.75,63.541666666666664,61.541666666666664,39.0,48.416666666666664,48.583333333333336,53.083333333333336,59.208333333333336,56.875,63.75
2016-01-22,75.75,73.41666666666667,66.75,55.208333333333336,74.41666666666667,68.45833333333333,46.625,56.25,56.125,57.875,60.083333333333336,66.58333333333333,73.0
2016-01-23,38.583333333333336,57.916666666666664,42.208333333333336,38.583333333333336,47.833333333333336,43.708333333333336,44.833333333333336,17.333333333333332,40.791666666666664,35.125,37.083333333333336,39.958333333333336,55.208333333333336
2016-01-24,58.791666666666664,62.0,60.833333333333336,61.625,55.291666666666664,54.041666666666664,62.291666666666664,33.166666666666664,38.75,55.25,55.916666666666664,61.625,58.416666666666664
2016-01-25,62.791666666666664,75.08333333333333,52.541666666666664,53.291666666666664,55.875,55.416666666666664,49.208333333333336,23.875,40.75,61.708333333333336,49.916666666666664,45.833333333333336,69.95833333333333
2016-01-26,35.208333333333336,56.166666666666664,36.458333333333336,37.625,30.791666666666668,29.333333333333332,36.333333333333336,11.208333333333334,23.583333333333332,23.708333333333332,22.083333333333332,21.625,40.083333333333336
2016-01-27,37.583333333333336,60.083333333333336,39.458333333333336,40.791666666666664,42.541666666666664,40.208333333333336,43.458333333333336,14.291666666666666,30.166666666666668,27.583333333333332,26.541666666666668,27.916666666666668,57.541666666666664
2016-01-28,35.208333333333336,57.708333333333336,41.875,41.416666666666664,30.958333333333332,29.291666666666668,47.583333333333336,15.5,23.708333333333332,22.208333333333332,18.375,16.541666666666668,47.875
