Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Länsisatama3(M4),Leppävaara4,Tikkurila3,Luukki,Hämeentie(M1),KehäII(M2),Ruskeasanta2(M3),Hyvinkää(M5),Lohja
2014-01-01 01:00:00,55.645161290322584,39.03225806451613,48.29032258064516,48.0,38.12903225806452,40.87096774193548,37.516129032258064,44.354838709677416,47.064516129032256,32.38709677419355,52.3448275862069,33.193548387096776,28.70967741935484
2014-01-01 02:00:00,54.806451612903224,34.806451612903224,44.83870967741935,46.483870967741936,33.70967741935484,39.12903225806452,34.774193548387096,42.25806451612903,43.32258064516129,29.483870967741936,44.48275862068966,30.774193548387096,27.741935483870968
2014-01-01 03:00:00,52.064516129032256,30.258064516129032,44.03225806451613,44.74193548387097,34.193548387096776,35.806451612903224,33.74193548387097,42.064516129032256,40.03225806451613,26.580645161290324,38.03448275862069,26.741935483870968,26.29032258064516
2014-01-01 04:00:00,50.903225806451616,29.387096774193548,45.516129032258064,45.87096774193548,34.645161290322584,32.87096774193548,32.096774193548384,42.74193548387097,40.38709677419355,26.774193548387096,35.0,24.838709677419356,26.548387096774192
2014-01-01 05:00:00,49.58064516129032,29.387096774193548,44.806451612903224,44.83870967741935,35.41935483870968,35.483870967741936,32.29032258064516,41.83870967741935,39.354838709677416,27.741935483870968,34.96551724137931,25.741935483870968,25.70967741935484
2014-01-01 06:00:00,48.225806451612904,30.677419354838708,45.38709677419355,43.354838709677416,33.483870967741936,36.54838709677419,32.774193548387096,43.41935483870968,42.96774193548387,29.838709677419356,34.86206896551724,26.548387096774192,24.903225806451612
2014-01-01 07:00:00,49.193548387096776,36.354838709677416,47.483870967741936,47.0,42.774193548387096,41.516129032258064,39.516129032258064,43.38709677419355,52.645161290322584,37.41935483870968,40.07142857142857,31.677419354838708,26.0
2014-01-01 08:00:00,53.74193548387097,43.354838709677416,51.38709677419355,46.193548387096776,46.58064516129032,48.38709677419355,45.225806451612904,43.25806451612903,59.70967741935484,44.064516129032256,41.17857142857143,38.0,27.129032258064516
2014-01-01 09:00:00,57.45161290322581,45.483870967741936,52.096774193548384,48.774193548387096,46.67741935483871,51.38709677419355,48.32258064516129,40.12903225806452,64.38709677419355,48.29032258064516,43.785714285714285,39.87096774193548,30.225806451612904
2014-01-01 10:00:00,59.935483870967744,44.1,51.774193548387096,48.41935483870968,48.87096774193548,50.25806451612903,48.774193548387096,41.54838709677419,62.903225806451616,48.83870967741935,44.241379310344826,38.25806451612903,30.741935483870968
2014-01-01 11:00:00,60.67741935483871,43.96774193548387,50.483870967741936,48.83870967741935,43.12903225806452,48.096774193548384,46.96774193548387,41.774193548387096,62.54838709677419,46.54838709677419,42.37931034482759,40.483870967741936,29.451612903225808
2014-01-01 12:00:00,61.12903225806452,44.12903225806452,49.32258064516129,49.29032258064516,39.54838709677419,52.61290322580645,43.87096774193548,42.41935483870968,63.645161290322584,44.29032258064516,41.86206896551724,41.12903225806452,28.483870967741936
2014-01-01 13:00:00,61.67741935483871,44.935483870967744,48.38709677419355,47.96774193548387,40.12903225806452,53.193548387096776,45.29032258064516,44.45161290322581,61.70967741935484,44.70967741935484,41.86206896551724,41.16129032258065,28.741935483870968
2014-01-01 14:00:00,62.45161290322581,45.064516129032256,49.54838709677419,49.67741935483871,45.25806451612903,50.193548387096776,45.29032258064516,43.29032258064516,64.96774193548387,46.483870967741936,40.241379310344826,40.41935483870968,28.612903225806452
2014-01-01 15:00:00,62.16129032258065,45.193548387096776,49.483870967741936,50.70967741935484,47.87096774193548,52.45161290322581,45.12903225806452,44.16129032258065,68.51612903225806,48.87096774193548,42.310344827586206,39.225806451612904,29.580645161290324
2014-01-01 16:00:00,61.516129032258064,47.774193548387096,51.41935483870968,50.54838709677419,50.354838709677416,55.354838709677416,47.32258064516129,48.03225806451613,69.64516129032258,52.225806451612904,46.3448275862069,41.064516129032256,32.064516129032256
2014-01-01 17:00:00,62.225806451612904,48.83870967741935,51.193548387096776,51.516129032258064,55.45161290322581,55.70967741935484,48.774193548387096,46.096774193548384,71.06451612903226,53.45161290322581,48.43333333333333,41.096774193548384,32.74193548387097
2014-01-01 18:00:00,61.645161290322584,46.225806451612904,49.41935483870968,55.064516129032256,48.193548387096776,54.61290322580645,47.806451612903224,43.45161290322581,68.64516129032258,50.83870967741935,49.53333333333333,42.12903225806452,31.70967741935484
2014-01-01 19:00:00,58.645161290322584,42.83870967741935,48.774193548387096,53.516129032258064,41.645161290322584,52.774193548387096,45.193548387096776,42.03225806451613,64.19354838709677,49.58064516129032,52.266666666666666,41.70967741935484,31.322580645161292
2014-01-01 20:00:00,55.61290322580645,41.0,48.16129032258065,53.806451612903224,43.193548387096776,49.70967741935484,43.74193548387097,41.54838709677419,61.354838709677416,47.064516129032256,55.56666666666667,39.225806451612904,33.03225806451613
2014-01-01 21:00:00,53.193548387096776,39.70967741935484,47.61290322580645,52.483870967741936,45.483870967741936,50.0,42.83870967741935,40.32258064516129,58.193548387096776,44.096774193548384,50.233333333333334,38.354838709677416,32.16129032258065
2014-01-01 22:00:00,52.87096774193548,38.87096774193548,47.064516129032256,52.32258064516129,47.54838709677419,47.516129032258064,41.54838709677419,40.96774193548387,55.225806451612904,39.193548387096776,53.666666666666664,36.38709677419355,29.483870967741936
2014-01-01 23:00:00,52.38709677419355,37.064516129032256,46.87096774193548,50.483870967741936,41.61290322580645,43.96774193548387,38.806451612903224,41.0,51.61290322580645,34.70967741935484,49.4,32.83870967741935,29.096774193548388
