Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Jätevoimala(M4),Leppävaara4,Tikkurila3,Luukki,Töölöntulli(M1),Lintuvaara2(M2),Hämeenlinnanväylä(M3),Järvenpää2(M5),Lohja
2015-01-01,47.166666666666664,,44.25,57.333333333333336,,39.0,31.125,41.041666666666664,,,,0.0,20.041666666666668
2015-01-02,34.208333333333336,37.333333333333336,29.0,28.5,22.708333333333332,31.625,23.333333333333332,27.625,42.208333333333336,24.916666666666668,28.041666666666668,21.791666666666668,17.333333333333332
2015-01-03,57.791666666666664,53.875,57.125,64.70833333333333,54.791666666666664,53.416666666666664,52.875,60.208333333333336,59.458333333333336,61.458333333333336,48.958333333333336,44.75,48.416666666666664
2015-01-04,51.416666666666664,50.958333333333336,39.375,34.708333333333336,27.0,49.458333333333336,40.166666666666664,29.916666666666668,64.08333333333333,35.875,40.666666666666664,39.458333333333336,30.958333333333332
2015-01-05,69.20833333333333,53.083333333333336,57.25,55.75,19.916666666666668,30.416666666666668,14.291666666666666,51.666666666666664,47.833333333333336,24.5,9.666666666666666,28.75,12.833333333333334
2015-01-06,53.791666666666664,61.541666666666664,56.916666666666664,58.5,26.125,36.541666666666664,31.833333333333332,59.333333333333336,48.0,29.958333333333332,35.041666666666664,38.916666666666664,21.291666666666668
2015-01-07,61.375,43.083333333333336,42.25,45.666666666666664,22.75,28.875,25.291666666666668,42.208333333333336,65.79166666666667,26.25,35.666666666666664,29.916666666666668,14.208333333333334
2015-01-08,36.666666666666664,35.208333333333336,48.125,42.583333333333336,12.166666666666666,12.416666666666666,9.958333333333334,35.25,29.875,10.833333333333334,14.208333333333334,14.166666666666666,3.875
2015-01-09,60.25,65.625,45.666666666666664,40.166666666666664,23.291666666666668,49.458333333333336,40.708333333333336,31.75,72.625,35.791666666666664,37.333333333333336,45.708333333333336,26.0
2015-01-10,41.708333333333336,61.541666666666664,39.875,37.958333333333336,21.791666666666668,28.333333333333332,32.5,34.75,43.625,15.291666666666666,43.083333333333336,21.666666666666668,11.041666666666666
2015-01-11,77.20833333333333,76.875,73.125,71.83333333333333,73.04166666666667,74.33333333333333,66.58333333333333,77.04166666666667,77.875,79.66666666666667,72.95833333333333,58.458333333333336,66.5
2015-01-12,48.75,72.5,41.875,41.666666666666664,23.571428571428573,37.625,26.166666666666668,48.041666666666664,65.375,13.25,45.291666666666664,17.083333333333332,9.166666666666666
2015-01-13,51.375,,48.291666666666664,48.75,26.5,46.166666666666664,37.458333333333336,49.291666666666664,48.208333333333336,27.041666666666668,46.916666666666664,32.125,14.666666666666666
2015-01-14,47.375,,45.708333333333336,47.75,28.958333333333332,30.071428571428573,40.291666666666664,54.041666666666664,37.916666666666664,7.916666666666667,54.0,31.375,11.791666666666666
2015-01-15,47.166666666666664,,44.25,49.708333333333336,28.291666666666668,,40.708333333333336,52.083333333333336,42.583333333333336,0.0,53.916666666666664,27.833333333333332,14.458333333333334
2015-01-16,45.583333333333336,,45.458333333333336,47.666666666666664,25.916666666666668,41.0625,34.75,48.583333333333336,40.333333333333336,26.75,34.833333333333336,28.0,19.791666666666668
2015-01-17,49.291666666666664,,43.541666666666664,46.583333333333336,27.166666666666668,39.875,36.291666666666664,51.666666666666664,43.041666666666664,38.875,28.166666666666668,33.833333333333336,22.916666666666668
2015-01-18,42.875,,44.041666666666664,48.333333333333336,14.791666666666666,25.291666666666668,24.041666666666668,50.791666666666664,39.916666666666664,17.791666666666668,26.416666666666668,13.833333333333334,13.166666666666666
2015-01-19,49.291666666666664,,42.375,40.333333333333336,21.791666666666668,45.083333333333336,33.5,34.958333333333336,59.75,29.958333333333332,38.333333333333336,21.0,20.666666666666668
2015-01-20,52.208333333333336,,40.5,40.666666666666664,30.666666666666668,40.25,27.625,40.291666666666664,60.416666666666664,27.166666666666668,20.958333333333332,22.75,22.875
2015-01-21,52.75,,42.541666666666664,43.583333333333336,31.625,47.833333333333336,35.916666666666664,45.0,62.791666666666664,41.75,28.166666666666668,34.375,26.333333333333332
2015-01-22,66.75,,47.0,43.333333333333336,38.541666666666664,50.291666666666664,38.833333333333336,43.416666666666664,71.91666666666667,45.833333333333336,34.083333333333336,36.666666666666664,33.625
2015-01-23,56.75,,48.291666666666664,54.333333333333336,42.625,54.666666666666664,50.208333333333336,45.541666666666664,62.25,59.625,47.416666666666664,37.375,41.75
2015-01-24,39.125,,36.708333333333336,43.125,35.5,35.083333333333336,33.375,39.541666666666664,32.916666666666664,34.666666666666664,37.583333333333336,25.625,16.541666666666668
2015-01-25,47.25,,47.041666666666664,50.708333333333336,35.958333333333336,40.875,37.0,47.916666666666664,47.5,47.416666666666664,34.083333333333336,26.125,25.5
2015-01-26,52.125,,45.583333333333336,49.041666666666664,36.875,43.208333333333336,42.0,49.125,38.708333333333336,37.5,56.041666666666664,35.666666666666664,20.083333333333332
2015-01-27,54.166666666666664,62.125,49.875,53.583333333333336,31.625,37.875,37.875,57.25,42.583333333333336,37.416666666666664,50.125,28.25,25.791666666666668
2015-01-28,46.125,54.541666666666664,44.583333333333336,47.083333333333336,27.541666666666668,28.333333333333332,27.375,52.958333333333336,28.75,22.458333333333332,38.333333333333336,20.208333333333332,7.833333333333333
2015-01-29,49.75,52.833333333333336,47.875,51.291666666666664,39.458333333333336,42.583333333333336,41.791666666666664,50.625,52.916666666666664,46.75,43.625,25.708333333333332,29.041666666666668
