Date & Time,Mannerheimintie,Mäkelänkatu2,Kallio2,Vartiokylä,Jätevoimala(M4),Leppävaara4,Tikkurila3,Luukki,Töölöntulli(M1),Lintuvaara2(M2),Hämeenlinnanväylä(M3),Järvenpää2(M5),Lohja
2015-01-01,-6.420857833847663,,-4.417043875322619,9.923349550985051,,-3.2139255995039875,-4.327735755409961,-4.1719227714909835,,,,-36.813076265935116,-3.940634306134619
2015-01-02,-13.045857833847663,,-6.333710541989284,-20.74331711568162,,-21.25559226617066,-16.994402422076632,1.1197438951757022,-2.002386076554849,-21.934949723092043,-24.003214649984443,-14.924187377046227,-15.773967639467953
2015-01-03,-0.08752450051431993,,8.58295612467738,-17.826650449014963,-0.18397727983133905,-30.463925599503987,-28.95273575540996,11.953077228509017,5.039280590111808,-26.5420925802349,-31.32276352216489,-27.188076265935116,-19.44063430613462
2015-01-04,-17.504191167180984,,-15.54204387532262,-13.284983782348291,-12.917310613164673,-32.04725893283732,-28.286069088743293,-8.796922771490983,3.2059472567784937,-15.125425913568233,-33.084167030936825,-29.354742932601784,-16.69063430613462
2015-01-05,7.53747549948568,,-2.5420438753226193,-5.9099837823482915,-8.91731061316467,-7.8389255995039875,-11.91106908874329,0.7864105618423594,8.87261392344515,0.20790741976509963,-12.73923949470494,-17.438076265935116,-6.107300972801287
2015-01-06,21.91247549948568,,6.249622791344038,10.798349550985051,16.249356053501998,16.286074400496013,19.255597577923382,-6.4219227714909835,14.70594725677848,24.124574086431757,15.324166302396499,10.770257067398227,8.851032360532049
2015-01-07,-3.71252450051432,,2.9579561246773807,7.798349550985051,-8.125643946498005,-8.963925599503987,-5.744402422076632,11.03641056184236,-28.210719409888178,-7.0420925802349,2.6574996357298417,-4.771409599268452,-8.148967639467951
2015-01-08,-14.295857833847663,,-9.04204387532262,-4.951650449014956,2.832689386835334,-1.3389255995039875,3.547264244590039,-1.4635894381576406,-19.669052743221513,2.7912407530984353,2.0324996357298417,-4.188076265935116,-3.190634306134619
2015-01-09,-5.504191167180977,,-11.41704387532262,-10.034983782348291,-5.458977279831338,-4.630592266170652,-5.327735755409961,-2.7135894381576406,5.622613923445151,-11.7920925802349,14.032499635729842,-14.146409599268445,-7.607300972801287
2015-01-10,-13.33752450051432,,-12.250377208655962,-11.326650449014956,-6.41731061316467,-11.297258932837316,-12.744402422076632,-7.6719227714909835,-6.710719409888192,-3.6670925802349004,-10.675833697603494,-17.479742932601788,0.6843656938653844
2015-01-11,-7.670857833847663,,-4.292043875322619,-5.743317115681634,-9.625643946498005,0.3694077338293482,-19.661069088743297,0.11974389517570216,-8.585719409888192,-7.375425913568229,-29.425833697603494,-11.229742932601788,-10.315634306134623
2015-01-12,2.8291421661523373,,5.7912894580107235,2.3400162176517085,11.95768938683532,21.286074400496013,8.172264244590039,-1.6302561048242978,10.87261392344515,19.249574086431757,11.657499635729842,3.728590400731541,17.892699027198713
2015-01-13,-2.21252450051432,,-0.37537720865596214,1.3400162176517085,0.4160227201686624,3.9527410671626697,2.005597577923375,4.0780772285090165,-6.294052743221506,-4.750425913568229,3.699166302396499,-4.688076265935116,-9.315634306134623
2015-01-14,-6.21252450051432,,-2.9587105419892765,0.34001621765170853,2.874356053501991,-12.142497028075418,4.838930911256696,8.828077228509017,-16.585719409888192,-23.875425913568233,10.782499635729842,-5.438076265935116,-12.190634306134623
2015-01-15,-6.420857833847663,,-4.417043875322619,2.2983495509850513,2.207689386835334,,5.255597577923375,6.869743895175702,-11.919052743221513,-31.7920925802349,10.699166302396499,-8.979742932601788,-9.523967639467951
2015-01-16,-8.004191167180977,,-3.2087105419892765,0.2566828843183657,-0.16731061316466622,-1.1514255995039875,-0.7027357554099609,3.369743895175702,-14.169052743221513,-5.0420925802349,-8.384167030936823,-8.813076265935116,-4.190634306134619
2015-01-17,-4.295857833847663,,-5.125377208655962,-0.8266504490149487,1.0826893868353338,-2.3389255995039875,0.8389309112566963,6.4530772285090165,-11.460719409888192,7.0829074197651,-15.050833697603487,-2.9797429326017806,-1.0656343061346156
2015-01-18,-10.71252450051432,,-4.625377208655962,0.9233495509850513,-11.292310613164673,-16.922258932837316,-11.41106908874329,5.5780772285090165,-14.585719409888192,-14.000425913568233,-16.800833697603487,-22.97974293260178,-10.815634306134623
2015-01-19,-4.295857833847663,,-6.292043875322619,-7.076650449014956,-4.292310613164666,2.8694077338293553,-1.952735755409961,-10.255256104824305,5.247613923445151,-1.8337592469015718,-4.884167030936823,-15.813076265935116,-3.315634306134619
2015-01-20,-1.3791911671809771,,-8.16704387532262,-6.743317115681634,4.582689386835334,-1.9639255995039875,-7.827735755409961,-4.9219227714909835,5.914280590111808,-4.625425913568229,-22.25916703093683,-14.063076265935116,-1.107300972801287
2015-01-21,-0.8375245005143199,,-6.125377208655962,-3.8266504490149487,5.541022720168662,5.619407733829355,0.4639309112567034,-0.21358943815764064,8.289280590111808,9.9579074197651,-15.050833697603487,-2.4380762659351163,2.3510323605320416
2015-01-22,13.16247549948568,,-1.6670438753226193,-4.076650449014949,12.45768938683532,8.07774106716267,3.380597577923375,-1.7969227714909835,17.414280590111822,14.041240753098442,-9.134167030936823,-0.1464095992684591,9.642699027198713
2015-01-23,3.16247549948568,,-0.37537720865596214,6.923349550985051,16.541022720168662,12.45274106716267,14.755597577923382,0.32807722850901655,7.747613923445151,27.8329074197651,4.199166302396499,0.5619237340648837,17.767699027198713
