Date & Time,Mannerheimintie,Vallila,Kallio2,Vartiokylä,Länsisatama3(M4),Leppävaara4,Tikkurila3,Luukki,Hämeentie(M1),KehäII(M2),Ruskeasanta2(M3),Hyvinkää(M5),Lohja
2014-01-01,-4.801848593138033,-5.054050029779617,0.21919866871785132,2.101260219827836,5.204801127861636,1.1178353560277188,1.8281728842925773,3.107666804606943,-3.0646954792279217,8.939658840956511,,-6.273275488656672,7.682727311402115
2014-01-02,-12.09351525980469,-3.7623833631129457,-8.655801331282149,-7.898739780172164,3.28813446119495,1.159502022694376,-2.6301604490407655,-7.267333195393057,13.018637854105407,-10.560341159043503,-10.743343971964094,-0.2316088219900081,3.8910606447354574
2014-01-03,-7.21851525980469,8.529283303553719,-4.239134664615463,-3.148739780172164,5.579801127861636,8.284502022694376,1.8698395509592345,-5.058999862059714,18.35197118743875,-18.935341159043503,4.548322694702563,26.393391178009985,8.849393978068793
2014-01-04,-4.59351525980469,3.0292833035537186,0.5941986687178513,3.767926886494493,15.329801127861636,4.909502022694376,4.703172884292577,2.3160001379402857,3.8103045207720783,-18.85200782571016,12.298322694702563,8.851724511343328,10.974393978068793
2014-01-05,-8.635181926471375,-3.9707166964462814,-2.322467997948806,-7.732073113505507,-16.836865538805036,-9.798831310638967,-7.046827115707423,-2.392333195393057,-9.273028812561265,-7.518674492376832,-10.308820162440291,-7.939942155323344,-0.525606021931214
2014-01-06,-4.926848593138033,-11.17905002977961,-8.61413466461547,-7.482073113505507,3.496467794528293,-12.04883131063896,-8.546827115707423,-10.933999862059721,1.0603045207720783,-9.518674492376832,1.8399893613692484,-3.106608821990008,-2.650606021931214
2014-01-07,-17.760181926471375,-4.4707166964462814,-11.98913466461547,-10.732073113505507,-5.378532205471707,-7.632164643972288,-5.713493782374087,-15.517333195393057,-9.523028812561265,-1.060341159043496,-8.368343971964094,-5.523275488656672,-15.317272688597875
2014-01-08,-17.551848593138033,-7.554050029779617,-14.030801331282149,-18.56540644683883,-9.170198872138378,-12.382164643972288,-2.1301604490407655,-6.6006665287264,-4.5230288125612645,-7.435341159043496,-12.826677305297423,-5.231608821990001,-15.608939355264543
2014-01-09,-9.71851525980469,-1.7623833631129457,-12.61413466461547,-11.107073113505507,-10.170198872138378,-3.0071646439722812,-1.6718271157074227,-7.392333195393057,1.2269711874387355,2.689658840956511,-8.57667730529743,-11.731608821990001,-16.19227268859788
2014-01-10,-14.135181926471375,-19.72071669644628,-16.90580133128214,-14.607073113505507,-18.753532205471707,-20.548831310638953,-17.588493782374094,-12.600666528726393,-19.731362145894586,-22.352007825710164,-26.660010638630762,-21.439942155323337,-22.52560602193121
2014-01-11,-10.96851525980469,-16.55405002977961,-24.780801331282134,-11.982073113505507,-14.253532205471707,-15.507164643972295,-23.671827115707423,-18.267333195393057,-17.56469547922792,-20.810341159043503,-6.535010638630759,-8.981608821990001,-17.150606021931207
2014-01-12,-12.301848593138033,-11.595716696446281,-14.405801331282149,-8.232073113505507,-15.253532205471707,-18.548831310638953,-19.838493782374094,-5.392333195393057,-21.106362145894586,-24.227007825710164,-0.8683439719640944,-13.231608821990001,-15.483939355264543
2014-01-13,-3.2601819264713754,-5.804050029779617,-7.280801331282149,-4.357073113505507,-0.3785322054717071,-16.007164643972295,-14.338493782374094,-5.142333195393057,-12.731362145894579,-5.643674492376832,-1.2850106386307587,4.518391178009985,-13.733939355264543
2014-01-14,9.114818073528639,16.445949970220376,5.594198668717851,3.6845935531611786,11.41313446119495,4.367835356027719,4.953172884292577,-14.392333195393057,3.3103045207720783,16.93965884095651,3.8816560280359056,21.56005784467667,-2.400606021931214
2014-01-15,6.906484740195296,7.7792833035537186,-0.3224679979488059,-8.565406446838828,6.371467794528293,7.284502022694376,8.369839550959234,-13.683999862059721,-0.5230288125612645,11.522992174289826,0.7149893613692484,4.018391178009985,-3.9839393552645426
2014-01-16,6.198151406861967,6.9042833035537186,0.8441986687178513,-3.0654064468388214,6.621467794528293,-4.757164643972288,-4.213493782374087,-3.6839998620597143,-8.856362145894579,1.2729921742898256,-5.618343971964094,4.393391178009985,-13.233939355264543
2014-01-17,0.9898180735286246,1.6542833035537186,0.38586533538453693,-0.6904064468388214,5.204801127861636,1.7428353560277188,0.4948395509592345,-11.558999862059721,-4.3980288125612645,1.1063255076231684,6.339989361369248,1.6017245113433276,0.26606064473545743
2014-01-18,-1.5935152598046898,-1.9707166964462814,0.3441986687178513,-3.523739780172164,3.746467794528293,3.909502022694376,-2.213493782374087,-6.308999862059721,-4.231362145894579,-3.7686744923768316,15.673322694702563,-2.2732754886566724,2.224393978068793
2014-01-19,5.03148474019531,5.612616636887061,-3.489134664615463,-6.982073113505507,6.28813446119495,10.367835356027719,1.03650621762592,-12.725666528726393,0.35197118743873546,19.60632550762317,9.131656028035906,0.1850578446766633,4.974393978068793
2014-01-20,12.448151406861967,25.52928330355372,12.219198668717851,1.4762602198278358,6.996467794528293,23.367835356027705,15.203172884292577,-7.392333195393057,11.143637854105407,38.85632550762317,12.339989361369248,18.06005784467667,16.932727311402115
2014-01-21,13.073151406861967,21.48761663688706,9.969198668717851,0.18459355316117865,18.246467794528293,17.826168689361047,15.66150621762592,-8.142333195393057,11.643637854105407,29.35632550762317,16.256656028035906,6.518391178009985,16.307727311402115
2014-01-22,6.614818073528639,5.38797895572764,3.177532002051194,-4.273739780172164,9.78813446119495,10.409502022694376,8.119839550959234,-12.725666528726393,2.268637854105421,4.314658840956511,2.3399893613692484,8.768391178009985,0.14106064473545743
